Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Pete Fairbanks","TBR",24,147.04907407407404,,,,132.0732330827068,,108.99000000000001,,,149.21079999999995,94.51731428571428,141.07377142857146,"Pete Fairbanks",17998,664126
"Yerry Rodríguez","TEX",1,135.06,101.06,,,138.78,,,,,113.56333333333333,128.1211111111111,134.82444444444445,"Yerry Rodriguez",21955,666720
"Blake Treinen","LAD",5,57.25,151.4872727272727,141.78500000000003,,132.04105263157896,,,,,111.84985507246377,124.06434782608694,132.39420289855073,"Blake Treinen",12572,595014
"Tyler Glasnow","TBR",6.2,138.9855737704918,,,,91.505625,171.4038095238095,,,,126.17508771929828,101.19964912280703,131.62964912280702,"Tyler Glasnow",14374,607192
"Emmanuel Clase","CLE",72.2,101.65058823529411,,125.09374321880655,,143.35162393162398,,,,,134.03857142857152,100.89010822510821,131.2378571428572,"Emmanuel Clase",21032,661403
"Edwin Díaz","NYM",62,115.87619537275062,,,,141.31333333333336,,,,,133.34622030237583,96.14518358531313,130.62753779697627,"Edwin Diaz",14710,621242
"Jacob deGrom","NYM",64.1,130.06251121076235,,,,139.82273224043715,131.66791666666666,83.2212987012987,,,122.88511229946526,104.57330481283424,130.07754010695186,"Jacob deGrom",10954,594798
"Andrés Muñoz","SEA",65,104.09194444444447,174.74,,,141.93135053110777,,,,,138.0430362389814,95.23774730656218,128.76017629774734,"Andres Munoz",20373,662253
"José Alvarado","PHI",51,78.04666666666667,117.62670833333333,144.40280423280424,,,139.27454545454546,,,,116.9395275590551,106.21878515185607,128.4633520809898,"Jose Alvarado",17780,621237
"Brusdar Graterol","LAD",49.2,80.51083333333334,140.0119298245614,127.29247311827957,,126.42403100775195,,,,,131.12959999999998,101.47066666666665,127.51466666666666,"Brusdar Graterol",20367,660813
"Evan Phillips","LAD",63,98.37941860465119,137.74645161290323,120.12383999999999,,132.06030434782608,,,,,125.94820258192658,104.95257199602779,127.04494538232379,"Evan Phillips",17734,623465
"Ryan Thompson","TBR",42.2,80.25681159420286,135.36166666666668,146.36222222222221,,122.92382022471911,,91.984,,,129.14355029585803,101.4284615384615,124.15769230769227,"Ryan Thompson",16647,657044
"Félix Bautista","BAL",65.2,93.50626229508197,,,134.14980988593155,107.51163934426228,,,,,131.44291248206608,91.16077474892398,124.01437589670013,"Felix Bautista",20666,642585
"Jhoan Duran","MIN",67.2,115.85088757396451,,,137.51,104.16516129032257,125.60987500000005,,,,128.1885735623601,98.05070948469006,122.19336818521279,"Jhoan Duran",21029,661395
"Corbin Burnes","MIL",202,78.99125,66.17245454545457,128.67326721763087,,127.8695973154363,122.55069536423842,113.92812499999998,,,118.36593111856145,99.97223407497717,121.44009753124041,"Corbin Burnes",19361,669203
"Scott Effross","- - -",56.2,91.0556043956044,116.06043321299641,,,119.13146707317075,,120.7331092436975,,,115.99262990393223,113.7975446050591,120.42103548468704,"Scott Effross",18384,664123
"A.J. Minter","ATL",70,118.48401446654617,,130.07249299719885,,,,106.71363184079605,,,121.19432700993679,100.88771454381205,119.94027100271008,"A.J. Minter",18655,621345
"Greg Holland","TEX",4.2,103.76,,,,127.9728,97.7,,,,106.51574999999998,106.35874999999999,118.4385,"Greg Holland",7196,518813
"Zack Wheeler","PHI",153,126.55709418837672,126.35151364764268,107.066734006734,,,106.78690391459077,81.09428571428572,,,112.31707855626328,106.82787261146501,118.31282377919325,"Zack Wheeler",10310,554430
"Raynel Espinal","CIN",4.2,113.91862068965519,,,,127.4411764705882,,117.20266666666666,,,88.73413333333333,127.82693333333334,118.108,"Raynel Espinal",19516,642659
"Paul Sewald","SEA",64,117.83239043824703,,,,118.55012765957443,,,,,119.5365567010309,98.62086597938145,117.97142268041236,"Paul Sewald",13892,623149
"Jonathan Loáisiga","NYY",48,128.00857142857143,122.89333333333333,,,,117.11298701298705,96.88982456140349,,,118.77333333333334,99.25984189723319,117.91815546772072,"Jonathan Loaisiga",19753,642528
"Shaun Anderson","TOR",1,103.21999999999998,,,,120.30444444444444,,,,,93.88190476190476,111.23714285714289,117.86380952380952,"Shaun Anderson",19453,641312
"Adrian Morejon","SDP",34,118.15983914209114,,,,127.59780821917806,107.31514285714285,111.7408695652174,,,112.157843866171,107.56791821561337,117.73003717472122,"Adrian Morejon",20039,670970
"Ryan Helsley","STL",64.2,113.66481751824819,,,,131.13094462540718,100.9938613861386,87.01666666666667,,,120.85596253902189,96.17916753381898,117.71452653485949,"Ryan Helsley",18138,664854
"Shohei Ohtani","LAA",166,101.03064066852367,113.01092783505156,124.15811158798282,114.5803846153846,134.31766507177036,92.81529411764707,,,,121.75196340068614,95.01341212352267,117.6791155165841,"Shohei Ohtani",19755,660271
"Chris Sale","BOS",5.2,121.68166666666669,97.87454545454544,,,129.22484848484848,,103.19363636363637,,,97.87098039215687,117.49647058823528,117.56705882352941,"Chris Sale",10603,519242
"Tyler Rogers","SFG",75.2,106.70480000000002,120.75930463576158,,,113.14548507462689,,,,,127.63996557659212,96.13397590361448,117.4871084337349,"Tyler Rogers",15541,643511
"Michael King","NYY",51,106.56379310344829,123.60729824561402,,,127.79551724137932,,86.9254054054054,,,116.07662303664921,102.79986910994761,117.42311518324607,"Michael King",19853,650633
"Kenley Jansen","ATL",64,,120.38460829493086,119.01019908116382,,101.83439393939389,,,,,131.4834165834166,90.77512487512485,117.03834165834176,"Kenley Jansen",3096,445276
"Hunter Greene","CIN",125.2,116.79615189873421,,,,123.1911111111111,,72.58368421052633,,,120.49855323020924,97.68608735213827,116.9766151046406,"Hunter Greene",22182,668881
"Cooper Criswell","TBR",3.1,,122.96,92.42,,113.62,,,,,103.32266666666666,112.45866666666667,116.92444444444445,"Cooper Criswell",24975,681867
"Connor Brogdon","PHI",44,119.9619383259912,,112.0278409090909,,,,116.28234527687296,,,109.1735219236209,108.16639321074962,116.39544554455439,"Connor Brogdon",21205,641401
"Gerrit Cole","NYY",200.2,121.64283863368667,,104.0283653846154,,119.91616847826087,,91.8910144927536,109.77070821529742,,118.5618103975535,98.95360856269109,116.22585321100917,"Gerrit Cole",13125,543037
"Shane McClanahan","TBR",166.1,108.2120182440137,,,,118.99078947368422,123.58675862068964,117.73065600000001,,,114.38204961366405,101.9740544936966,115.89683611224072,"Shane McClanahan",21483,663556
"Joel Kuhnel","CIN",58,113.31754385964913,107.32101083032488,,,118.58137931034479,,99.82643356643356,,,104.3724535679374,111.83237536656893,115.7023264907136,"Joel Kuhnel",19995,669270
"Devin Williams","MIL",60.2,98.66511166253102,,95.035,,51.24486486486487,,130.7256129032258,,,117.38453183520599,96.90200374531837,115.60698501872663,"Devin Williams",15816,642207
"John Means","BAL",8,107.58947368421052,,,,125.90588235294118,,125.41904761904763,108.18105263157895,,111.38444444444444,104.31422222222221,115.52622222222224,"John Means",16269,607644
"Jeremiah Estrada","CHC",5.2,109.13113636363637,,,,146.07272727272726,88.46000000000001,117.96000000000001,,,120.16534482758621,96.4648275862069,115.46586206896549,"Jeremiah Estrada",22210,669093
"Josh Fleming","TBR",35,,123.7675138121547,101.09940594059407,,,112.93324074074074,104.52952380952382,,,108.1930771544882,108.03413598499378,115.44614973667609,"Josh Fleming",20418,676596
"Caleb Thielbar","MIN",59.1,108.2478861788618,,,,121.45479674796746,125.05599999999998,86.918,,,120.07227043390517,100.51370332996972,115.43723511604446,"Caleb Thielbar",10078,573204
"Aaron Nola","PHI",205,117.96370443349754,113.14895104895105,100.84090909090911,,,,91.34732142857145,129.13684863523576,,114.9104224422442,103.49404620462043,115.09124092409232,"Aaron Nola",16149,605400
"Tim Hill","SDP",48,106.78027149321265,127.2015270935961,87.62160000000002,,84.02970588235294,,,,,115.17448183041726,99.23084791386272,114.89467025571999,"Tim Hill",16814,657612
"Luis García","SDP",61,27.196000000000005,118.61628180039143,,112.83631999999999,114.16084415584412,,,,,116.67770833333338,99.55735416666661,114.65977083333333,"Luis Garcia",6984,472610
"Craig Kimbrel","LAD",60,117.23542005420055,,,,,,,104.73961538461535,,113.7883271375465,102.77994423791817,114.5579925650558,"Craig Kimbrel",6655,518886
"Rafael Montero","HOU",68.1,112.19046092184371,129.89180722891564,,,105.62947368421055,,108.57632075471695,,,105.12815765352885,109.64604949587536,114.52141154903761,"Rafael Montero",12760,606160
"Yimi García","TOR",61,130.8441304347826,102.77356164383562,,,113.44298342541433,103.2548275862069,65.35368421052631,,,105.6840347490348,106.96361003860997,114.41167953667951,"Yimi Garcia",12095,554340
"Liam Hendriks","CHW",57.2,120.88818815331011,,,,106.35671532846713,98.02140000000001,,,,115.37955508474577,98.60809322033896,114.27313559322036,"Liam Hendriks",3548,521230
"Blake Snell","SDP",128,106.12706153846153,,,,130.42876760563382,126.12770538243628,87.45050847457627,,,108.98236200256738,103.07739837398375,114.13353872486088,"Blake Snell",13543,605483
"Brandon Woodruff","MIL",153.1,118.33408393039916,106.19038674033149,,,102.83230769230768,117.31635220125784,118.7546731234867,,,109.10733017377565,106.76328593996844,113.94510268562402,"Brandon Woodruff",16162,605540
"Phil Bickford","LAD",61,113.65242199108472,,,,115.30905063291141,,-102.94,,,111.17209302325585,105.30992922143575,113.93379170879682,"Phil Bickford",18519,641360
"Joe Jiménez","DET",56.2,118.68911222780571,,,,111.882214532872,,69.59529411764706,,,115.15559829059839,101.95801282051283,113.93339743589742,"Joe Jimenez",15761,641729
"Justin Wilson","CIN",3.2,140.3652631578947,,100.66222222222221,,98.37294117647059,,,,,107.51444444444445,111.66222222222221,113.9111111111111,"Justin Wilson",4301,458677
"Camilo Doval","SFG",67.2,,102.47171232876713,100.13800000000002,,129.5719672131148,,,,,120.96608928571429,93.3371607142858,113.57123214285716,"Camilo Doval",21992,666808
"Steven Matz","STL",48,,109.55246943765283,,,59.77545454545453,125.01910124049616,117.70262295081969,,,105.27430643330969,113.22076668296599,113.53800554791846,"Steven Matz",13361,571927
"Sandy Alcantara","MIA",228.2,100.53473684210529,119.76246609124534,,,119.71573033707864,52.28545454545454,115.6475530726257,,,110.47837871287126,103.4600804455445,113.38863242574263,"Sandy Alcantara",18684,645261
"Clay Holmes","NYY",63.2,127.8,110.48690445859879,,,125.37874999999997,,,,,114.25260020554981,99.81083247687565,113.38709146968147,"Clay Holmes",13649,605280
"Julio Urías","LAD",175,109.2235631293571,,,,,127.11341743119269,98.42034934497819,,,108.71785604900458,106.86650842266461,113.30180704441035,"Julio Urias",14765,628711
"Cristian Javier","HOU",148.2,116.2347882736156,,,,121.0699574468085,,55.07580000000001,92.47728971962617,,110.30446802760882,103.38692636975915,113.23953640268645,"Cristian Javier",17606,664299
"Josh Hader","- - -",50,,111.3959083969466,,,119.48434456928838,,100.10285714285713,,,116.44000860071202,97.10477071149157,113.1244740456689,"Josh Hader",14212,623352
"Spencer Strider","ATL",131.2,117.80418360655737,,,,108.15894245723172,,75.63596330275229,,,120.34252027834725,93.46808004715838,113.08283775208491,"Spencer Strider",27498,675911
"Shawn Armstrong","- - -",61.2,106.88567656765676,120.16214477211797,101.10019867549669,,111.08072769953053,,,,,114.23078279991364,103.34238062942687,113.07420218100808,"Shawn Armstrong",12857,542888
"Clayton Kershaw","LAD",126.1,105.5524456521739,67.2475,,,123.38807197943446,106.292,97.60727272727273,,,111.96833424358272,101.01907154560351,112.96550518842155,"Clayton Kershaw",2036,477132
"Kevin Gausman","TOR",174.2,108.4360235640648,,,124.71526794742164,98.86220551378446,,115.75,,,105.20077781778897,108.50285920057614,112.95747209218582,"Kevin Gausman",14107,592332
"Daniel Hudson","LAD",24.1,113.21622641509435,103.162,,,117.62117647058822,,55.28285714285715,,,106.66943209876544,103.2231604938272,112.79140740740742,"Daniel Hudson",7146,543339
"Taylor Clarke","KCR",49,106.15862637362635,,,,122.81736334405142,,109.23032608695655,,,100.0429137529138,111.42347319347317,112.78652680652681,"Taylor Clarke",17611,664199
"James Karinchak","CLE",39,115.22504761904763,,,,,109.08098591549296,,,,111.1063338088445,99.54610556348076,112.71360912981459,"James Karinchak",20151,675916
"Penn Murfee","SEA",69.1,112.20285035629456,97.26314285714285,,,116.568515625,,,,,114.49244267198402,101.90384845463613,112.47034895314059,"Penn Murfee",25174,682171
"Chris Martin","- - -",56,105.34769647696476,120.47323943661969,125.07617647058824,99.98835443037976,117.29767507002803,98.48451612903224,,,,106.84496657687315,109.88145637760424,112.3835720569962,"Chris Martin",11847,455119
"Andrew Kittredge","TBR",20,96.40562500000001,112.5556603773585,,,116.78210526315787,,,,,105.36532188841201,105.46042918454934,112.22437768240346,"Andrew Kittredge",12828,552640
"Justin Verlander","HOU",175,109.49411406844105,,,,119.5450677506775,109.79629327902241,99.90920634920636,,,114.68867127496159,98.98896313364055,112.17559139784949,"Justin Verlander",8700,434378
"Carlos Rodón","SFG",178,114.8457064622125,,,,112.53904967602594,86.18282352941176,94.9606779661017,,,112.02664875755542,102.15069173942248,112.16543317662858,"Carlos Rodon",16137,607074
"Cody Stashak","MIN",16.1,106.02522522522521,,,,119.04017857142858,,89.72,,,109.26123348017619,100.43339207048459,112.15938325991189,"Cody Stashak",18088,664054
"Jeffrey Springs","TBR",135.1,101.38442396313363,119.28666666666668,,,111.96706172351873,,124.62230872483221,,,106.24993678262173,106.33731741501867,112.05397831577453,"Jeffrey Springs",17677,605488
"Ryan Castellani","OAK",2.2,87.09799999999998,113.87833333333333,,,129.29333333333332,47.93,,,,107.54488888888888,110.58044444444444,111.968,"Ryan Castellani",16377,624418
"Pablo Reyes","MIL",1,,,,,,,,,,81.56666666666666,128.78,111.57111111111111,"Pablo Reyes",16357,622569
"Jason Foley","DET",60.1,61.190352941176485,122.49643835616438,,,103.25159292035397,,99.36272727272727,,,106.63696780893032,107.94521287642785,111.56452751817243,"Jason Foley",19531,671345
"Garrett Whitlock","BOS",78.1,119.56787878787878,113.16332369942195,,,107.01857142857143,,111.03982683982683,,,107.7073248264696,105.80299618473575,111.52758371940175,"Garrett Whitlock",20191,676477
"Shelby Miller","SFG",7,127.18315789473685,,,,98.54571428571428,,,,,108.03952755905512,109.66708661417323,111.3987401574803,"Shelby Miller",10197,571946
"Adam Cimber","TOR",70.2,106.0050549450549,123.19251612903228,,,105.66244565217396,,,,,116.69897978825793,99.61314725697785,111.39742059672766,"Adam Cimber",15288,643256
"Hunter Harvey","WSN",39.1,110.51906614785993,,,131.55858585858584,54.06,74.85363636363635,,,,105.48012102874432,106.63470499243572,111.13885022692887,"Hunter Harvey",15507,640451
"Emilio Pagán","MIN",63,115.18469178082192,,102.7981042654028,111.25720430107528,102.1636363636364,97.06499999999998,,,,106.67523555555555,106.56316444444444,111.13772444444444,"Emilio Pagan",14771,641941
"Zach Pop","- - -",39,,112.52208737864079,,,107.2222003642987,,37.160000000000004,,,109.70199242756804,103.35467350746269,110.96574270193152,"Zach Pop",20185,647315
"Nathan Eovaldi","BOS",109.1,107.63490254872565,,112.12811428571428,118.30071625344351,109.60254716981134,109.63725,,,,105.04420749279541,106.34187896253597,110.86717002881844,"Nathan Eovaldi",9132,543135
"Alex Cobb","SFG",149.2,72.48,108.06566074950692,,115.1607587548638,180.92000000000002,,,106.86427027027028,,98.69648570244505,110.48159138002488,110.78366348943221,"Alex Cobb",6562,502171
"Logan Webb","SFG",192.1,80.55773195876291,118.6720404040404,,,103.58727828746179,,113.05557692307693,,,112.48982971619361,100.41951252086812,110.70005342237064,"Logan Webb",17995,657277
"Phil Maton","HOU",65.2,104.48198731501057,96.2713888888889,107.56857142857143,,123.42587628865981,116.00654970760233,-482.15999999999997,,,111.02190036900363,98.72998154981543,110.63134686346861,"Phil Maton",18064,664208
"Zach Eflin","PHI",75.2,109.1757837837838,121.17445378151261,99.5300558659218,,111.18243902439025,108.27383333333333,81.75534246575344,,,100.33160694494998,112.73782540875574,110.59712350984107,"Zach Eflin",13774,621107
"Max Scherzer","NYM",145.1,111.56307222787389,,96.23135922330097,,122.15624505928854,109.793,95.91897058823528,,,108.43720111214087,103.67848934198335,110.57674698795185,"Max Scherzer",3137,453286
"Keegan Akin","BAL",81.2,114.98732087227414,,,,114.46893066088838,53.992000000000004,92.12776785714286,,,107.10807057075475,105.91093670851565,110.49435612535612,"Keegan Akin",19362,669211
"Alex Claudio","NYM",3.1,,142.0651851851852,,,71.16909090909093,,75.41666666666667,,,98.4768,109.0616,110.4724,"Alex Claudio",12890,592222
"Ryan Pressly","HOU",48.1,78.2624347826087,,,,125.76283524904217,126.28656084656086,122.55599999999998,,,110.91875354107651,97.68203966005669,110.43634560906513,"Ryan Pressly",7005,519151
"Alexis Díaz","CIN",63.2,107.55352855051244,,,,115.46016216216216,43.66,,,,112.56596391263056,97.23756885090215,110.33783475783478,"Alexis Diaz",21132,664747
"Jason Adam","TBR",63.1,113.38615894039737,,,,117.5967952522255,,98.82019801980202,,,110.27549415515406,99.32165781083957,110.25523910733261,"Jason Adam",11861,592094
"Víctor Arano","WSN",42,102.37030303030305,106.98523809523809,,,115.88984126984123,,,,,98.88127786032692,109.3983060921248,110.18407132243686,"Victor Arano",15915,644364
"Nick Mears","PIT",2,122.04470588235296,,,,115.63999999999999,80.87,,,,96.3683870967742,106.1606451612903,110.17935483870967,"Nick Mears",25376,683232
"Adam Ottavino","NYM",65.2,87.63488372093023,108.40255072463765,92.71272727272729,,125.99784355179702,,62.5784,,,114.70224489795936,98.80484693877548,110.15457482993197,"Adam Ottavino",1247,493603
"Scott Alexander","SFG",17.1,,120.8178947368421,,,88.04296296296295,,78.70628571428573,,,100.30239895231857,109.90537651050657,110.12565271742365,"Scott Alexander",10591,518397
"Michael Kelly","PHI",4,40.593333333333334,,,,131.32448979591837,,,,,111.26468750000001,101.13500000000002,110.059375,"Michael Kelly",12791,547184
"Frankie Montas","- - -",144.1,103.68042296072505,115.46682170542634,102.9958762886598,114.33898819561554,110.43279652051253,,,,,107.69963220929587,101.7686967709424,109.96611650598719,"Frankie Montas",14309,593423
"Wandy Peralta","NYY",56.1,94.25351351351351,100.72330033003297,,,119.72906249999998,,116.07747126436779,,,98.85696821515896,107.28136919315402,109.90007334963325,"Wandy Peralta",14295,593974
"Matt Festa","SEA",54,103.07113402061859,-38.080000000000005,,,115.24242063492063,,,,,108.41646532438476,101.6328635346756,109.76064876957493,"Matt Festa",19330,670036
"Seranthony Domínguez","PHI",51,112.0043870967742,114.96707224334602,71.485,,103.24187192118225,,93.50358974358976,,,111.16692588092337,98.35081409477523,109.75234507897925,"Seranthony Dominguez",19249,622554
"Chad Green","NYY",15,117.13324503311257,136.48000000000002,,,97.86917647058823,,92.41333333333334,,,106.85570247933883,104.51553719008265,109.74760330578515,"Chad Green",15552,643338
"Danny Young","- - -",6.1,,130.1296153846154,,,96.95267605633803,,56.56,,,110.0336507936508,106.10444444444444,109.68301587301588,"Danny Young",18439,664849
"Michael Feliz","BOS",3.1,111.25999999999999,,,,116.38000000000001,,82.8,,,87.5127868852459,114.53704918032787,109.62590163934426,"Michael Feliz",11903,593140
"Zac Gallen","ARI",184,104.90103546099293,-449.0400000000001,108.03711009174313,,101.54615384615384,,115.93765550239232,118.21093167701862,,105.3984199726402,104.04671682626535,109.6111012311901,"Zac Gallen",19291,668678
"Nestor Cortes","NYY",158.1,115.32841035120148,86.80945945945945,108.45017687074832,,107.672576419214,95.79142857142858,80.35425925925925,,,114.96379337539435,100.30289432176656,109.59233438485802,"Nestor Cortes",17874,641482
"Reynaldo López","CHW",65.1,112.17170642201836,,,,110.08036151960785,108.6325641025641,76.20723404255318,,,106.92938742923964,102.3366445796901,109.58696735854568,"Reynaldo Lopez",16400,625643
"Yency Almonte","LAD",35.1,99.1225925925926,111.25835443037974,,,113.89348416289593,,86.25032258064513,,,115.00807775377973,93.37192224622031,109.49123110151191,"Yency Almonte",15068,622075
"Héctor Neris","HOU",65.1,114.68929782082321,102.83817351598175,,104.02891025641027,60.47234567901235,,,,,108.00818980667836,102.57467486818977,109.48722319859407,"Hector Neris",11804,593576
"Max Fried","ATL",185.1,104.18727074235808,119.97771276595743,,,114.53205374280232,103.60161983471076,111.86186397984888,,,102.13607396870555,105.12807254623048,109.38582503556192,"Max Fried",13743,608331
"Luis Castillo","- - -",150.1,116.17641212121211,100.51418487394956,,,120.29025460138297,,98.43810035842296,,,111.38167347769698,98.19978836496685,109.3709259682858,"Luis Castillo",15689,622491
"Dylan Cease","CHW",184,98.87803384367447,94.06400000000001,,,124.53014970059883,,106.35815789473685,93.77200000000002,,109.2690080256822,99.8669662921349,109.31004815409308,"Dylan Cease",18525,656302
"Garrett Cleavinger","- - -",23,104.77402985074629,121.3490909090909,,,114.53999677002584,62.381333333333345,,,,110.59171910839265,103.64720167029348,109.25521202140798,"Garrett Cleavinger",17897,664076
"Anthony Bender","MIA",19.1,82.212,105.16073619631902,,,112.79472527472527,,140.50933333333333,,,115.63700729927011,96.69897810218978,109.21248175182484,"Anthony Bender",19742,669622
"Keynan Middleton","ARI",17,105.5811570247934,,,,110.59324675324672,,117.21024390243902,,,101.3809166666667,106.45900000000003,109.10958333333335,"Keynan Middleton",15264,641871
"Graham Ashcraft","CIN",105,,94.81432432432433,115.80592427616926,,108.80424369747898,,81.75166666666667,,,107.30041049030783,102.3857354618016,109.10565564424175,"Graham Ashcraft",27552,668933
"Alex Vesia","LAD",54.1,111.12643333333331,,,,107.75542483660134,,92.9739534883721,,,111.43341101694914,97.97631355932202,109.09913135593219,"Alex Vesia",25007,681911
"Yu Darvish","SDP",194.2,103.708115942029,98.88015748031495,116.68062499999998,89.87628959276017,118.24412949640288,98.6764705882353,,93.25319587628866,,104.54706675657444,103.25823331085644,109.06781523937961,"Yu Darvish",13074,506433
"Dylan Floro","MIA",53.2,103.734025974026,123.45060702875402,,,97.00158730158732,,101.39353846153847,,,108.63217189314754,103.79588850174214,109.01133565621375,"Dylan Floro",13394,571670
"Alex Wells","BAL",3.2,119.62857142857142,,,,104.65142857142858,110.69555555555556,86.09076923076924,,,85.4039393939394,132.39,108.99787878787879,"Alex Wells",19845,649144
"Luis Perdomo","MIL",23.2,,110.50762499999999,,108.76695652173912,105.99822784810125,,,,,97.02652631578948,108.33564912280701,108.976701754386,"Luis Perdomo",14682,606131
"Hayden Wesneski","CHC",33,84.51984251968504,120.87639639639639,117.4065573770492,,125.33253164556963,,69.34210526315789,,,108.22751048853253,104.51820168282677,108.92390173410405,"Hayden Wesneski",27581,669713
"Tanner Rainey","WSN",30,106.21013623978202,,,,116.12344370860932,,77.44666666666667,,,111.4549712092131,97.59980806142035,108.90894433781189,"Tanner Rainey",17610,663432
"Andre Jackson","LAD",9.2,87.8898245614035,,,,49.775999999999996,71.58,131.89666666666668,,,104.49006451612901,105.428,108.85883870967743,"Andre Jackson",21298,656578
"Robert Suarez","SDP",47.2,113.62061452513967,114.51053254437872,114.82,,51.61333333333332,115.22363636363634,88.80785714285715,,,111.65975093399749,96.95339975093401,108.8232378580323,"Robert Suarez",30115,663158
"DL Hall","BAL",13.2,91.47742857142856,,,,135.21275862068967,100.76875,127.41163636363635,,,119.83794842007437,93.04290078996283,108.79614350991326,"DL Hall",22207,669084
"Peter Strzelecki","MIL",35,91.66173374613004,,,,124.69149253731338,,96.56731707317074,,,103.13619402985073,107.11211442786072,108.75970149253726,"Peter Strzelecki",21367,657265
"Raisel Iglesias","- - -",62,103.15430420711972,100.33055555555553,,,121.81071199856088,,115.76238297872341,,,106.32606089034262,105.29027912353939,108.74187498670537,"Raisel Iglesias",17130,628452
"Sandy León","CLE",2,,,,,,,,,,85.76,115.36,108.58,"Sandy Leon",5273,506702
"Gregory Santos","SFG",3.2,119.89280000000001,155.76285714285717,,,89.03176470588235,,,,,103.6321212121212,103.9581818181818,108.56696969696971,"Gregory Santos",21894,666619
"Robert Gsellman","CHC",15.1,-51.879999999999995,117.65739130434783,,,102.88542372881355,75.41714285714286,114.85916666666667,,,89.77019417475726,115.09582524271848,108.53533980582526,"Robert Gsellman",13696,607229
"Brent Suter","MIL",66.2,116.85076258992805,74.91559322033899,,,69.93608695652175,,99.05722846441948,,,107.41430711610482,98.45385767790266,108.29245318352055,"Brent Suter",13942,608718
"Dylan Lee","ATL",50.2,110.59102040816332,,,,111.15511235955053,,71.48980392156864,,,105.58034666666666,104.63634666666664,108.25111999999999,"Dylan Lee",19996,669276
"Brooks Raley","TBR",53.2,70.87,99.93183246073298,108.09308641975315,,133.4603086419753,,68.65759036144577,,,113.98755924170611,97.96973933649289,108.13810426540284,"Brooks Raley",10061,548384
"Aneurys Zabala","MIA",2.2,103.9090909090909,,,,,147.12,98.82,,,101.92571428571428,101.25952380952381,108.13571428571427,"Aneurys Zabala",20802,656008
"Greg Weissert","NYY",11.1,123.6907142857143,88.02563380281688,,,127.73823529411763,,85.96842105263157,,,117.5186021505376,91.78784946236557,107.70301075268819,"Greg Weissert",20375,669711
"Colin Poche","TBR",58.2,110.11843501326258,,,,71.73571428571428,101.46370731707316,,,,113.82564681724843,92.52669404517452,107.69521560574945,"Colin Poche",19403,621363
"Tanner Scott","MIA",62.2,84.3858921161826,,,,121.8784323640961,,,,,118.00177533385701,87.7095836606441,107.6825137470542,"Tanner Scott",17586,656945
"Sam Moll","OAK",43.1,83.16,96.38654434250763,,,116.66574938574935,,,,,109.01455284552854,99.6685094850948,107.5771815718157,"Sam Moll",14874,594580
"Ryne Stanek","HOU",54.2,105.43541108986615,,,119.94009708737866,98.62060240963855,,,,,108.25774301675973,96.90051396648046,107.50994413407824,"Ryne Stanek",15947,592773
"Jalen Beeks","TBR",61,100.91385892116182,,67.83000000000001,,101.42599999999999,,115.18638211382114,,,104.29494410287072,101.31751228345918,107.49481128342427,"Jalen Beeks",17192,656222
"A.J. Puk","OAK",66.1,101.11610766045546,83.06696629213482,,,124.73851116625313,,103.64,,,112.14978604651157,97.5294511627907,107.47056744186042,"A.J. Puk",19343,640462
"Griffin Jax","MIN",72.1,91.62056555269923,113.75999999999999,,,122.84150268336316,75.05836734693877,101.59329113924053,,,105.41053819444444,104.37545138888885,107.39887152777774,"Griffin Jax",20253,643377
"Mauricio Llovera","SFG",16.1,83.94,114.47955223880597,,,101.29105882352941,,,,,109.40228758169934,101.74000000000001,107.3150980392157,"Mauricio Llovera",20080,661440
"Ian Gibaut","- - -",36,97.35376623376624,,97.7353459119497,,129.3111696522656,,123.15925,,,101.79195965417871,102.6419596541787,107.31164265129682,"Ian Gibaut",17871,664139
"Darren O'Day","ATL",21.2,110.54380952380954,129.18848484848482,,,100.43630434782612,,,,,97.97890909090908,109.79464935064934,107.31132467532464,"Darren O'Day",3321,503285
"John Schreiber","BOS",65,103.72533333333332,125.23621621621622,,,99.01215584415587,,101.35921052631583,,,105.60675834970529,102.5110805500982,107.17685658153242,"John Schreiber",20020,670167
"Tommy Milone","SEA",16.2,95.3166,,,,101.57333333333334,105.66928571428572,121.48304347826088,,,89.2981512605042,115.37487394957982,107.12252100840334,"Tommy Milone",7608,543548
"Ethan Roberts","CHC",7.2,,,118.19149999999999,,79.97043478260869,99.85090909090908,,,,95.89367231638415,105.67954802259887,107.11853107344632,"Ethan Roberts",24930,681799
"Sean Doolittle","WSN",5.1,115.28195121951221,,,7.039999999999999,,95.52999999999999,,,,108.58254545454545,101.59418181818181,107.03636363636363,"Sean Doolittle",1581,448281
"Jorge López","- - -",71,106.8773076923077,111.08901023890786,,,114.75741599462368,,105.44430939226518,108.72403669724773,,118.19964626312175,93.73156555694531,106.88208086652942,"Jorge Lopez",14527,605347
"Dustin May","LAD",30,115.16563636363635,111.1285294117647,108.67148514851485,,,104.58840000000001,93.68000000000002,,,118.47111498257837,91.09177700348432,106.87205574912892,"Dustin May",19716,669160
