Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Joel Peralta","- - -",539.2,0.28693026,0.64711585,0.47824408,0.6354067,0.82509363,0.7717362,0.53115345,30.10330483,"Joel Peralta",2332,407908
"Junichi Tazawa","- - -",395.1,0.30086234,0.68199347,0.49846201,0.59129512,0.85558939,0.77877198,0.51845586,29.35237196,"Junichi Tazawa",4079,547749
"Rafael Betancourt","- - -",456.2,0.3356235,0.70312044,0.53438486,0.63766633,0.80257155,0.75501771,0.54085174,29.26671647,"Rafael Betancourt",177,429783
"Hirokazu Sawamura","BOS",103.2,0.30452261,0.68742058,0.47362514,0.50825083,0.82809612,0.71327014,0.44163861,29.16161616,"Hirokazu Sawamura",27515,617228
"Jhon Romero","- - -",9,0.33333333,0.68888889,0.52380952,0.57692308,0.87096774,0.78409091,0.53571429,28.99173554,"Jhon Romero",19940,664584
"Jose Valverde","- - -",434.2,0.27934272,0.63932107,0.47460488,0.58823529,0.82123894,0.75848691,0.5424275,28.86236934,"Jose Valverde",1726,407878
"Kyuji Fujikawa","- - -",26.2,0.29257642,0.65217391,0.47276688,0.56716418,0.81333333,0.73732719,0.50108932,28.8440367,"Kyuji Fujikawa",14443,493117
"Chang-Yong Lim","CHC",5,0.14285714,0.63492063,0.40336134,0.75,0.775,0.77083333,0.52941176,28.74725275,"Chang-Yong Lim",14445,547939
"Pedro Báez","- - -",362.2,0.31306685,0.73317865,0.52452452,0.57832618,0.77938517,0.71978372,0.50333667,28.66212786,"Pedro Baez",5420,520980
"Jordan Sheffield","COL",31.1,0.21153846,0.69957082,0.44219067,0.58181818,0.8404908,0.77522936,0.47261663,28.48595506,"Jordan Sheffield",19682,642068
"Stephen Ridings","NYY",5,0.27027027,0.64864865,0.45945946,0.3,0.70833333,0.58823529,0.5,28.33333333,"Stephen Ridings",22358,670050
"Adam Liberatore","LAD",88.2,0.25216138,0.64761905,0.45556333,0.61142857,0.83613445,0.77572965,0.5143457,28.2480695,"Adam Liberatore",10637,571893
"Rafael Dolis","- - -",100.1,0.25052632,0.61604938,0.41875,0.54621849,0.87374749,0.76797829,0.46022727,28.19275124,"Rafael Dolis",4185,503569
"Jonathan Broxton","- - -",586,0.29696262,0.66673516,0.49371379,0.56648308,0.83328197,0.75819309,0.53208702,28.17414248,"Jonathan Broxton",4759,455009
"Joaquín Benoit","- - -",604.1,0.34517766,0.67700139,0.49703515,0.56221719,0.77511962,0.6949297,0.45764507,28.16100767,"Joaquin Benoit",1437,276542
"Chia-Jen Lo","HOU",19.1,0.22292994,0.69230769,0.47492625,0.8,0.84920635,0.83850932,0.53687316,28.02109705,"Chia-Jen Lo",5440,547568
"Alex Colomé","- - -",539,0.28778422,0.69444444,0.48207218,0.51742835,0.85403509,0.74909442,0.47776484,28.00633631,"Alex Colome",6661,517008
"Jonathan Papelbon","- - -",623.1,0.35968468,0.67473175,0.52257152,0.6255479,0.8188338,0.75457952,0.51702382,27.89232089,"Jonathan Papelbon",5975,449097
"Hideki Okajima","- - -",250.1,0.28378378,0.60328638,0.44022989,0.70833333,0.81712062,0.78133159,0.48965517,27.70543616,"Hideki Okajima",7763,506606
"Blake Parker","- - -",345.1,0.27285083,0.64414875,0.45812053,0.54171856,0.83686441,0.74879227,0.49897855,27.61367323,"Blake Parker",5224,453284
"Matt Foster","CHW",119.1,0.24871531,0.7088015,0.48946595,0.6322314,0.8335535,0.78478478,0.52327291,27.34679021,"Matt Foster",19647,641582
"Miguel Sánchez","MIL",39.1,0.30054645,0.725,0.49854227,0.53636364,0.82758621,0.73391813,0.4664723,27.34068136,"Miguel Sanchez",20074,667376
"Cody Hall","- - -",11.1,0.25454545,0.69811321,0.47222222,0.75,0.86486486,0.83333333,0.49074074,27.33121019,"Cody Hall",12232,595235
"Robinson Leyer","BOS",4.2,0.2371134,0.64615385,0.40123457,0.34782609,0.78571429,0.63076923,0.40123457,27.17741935,"Robinson Leyer",14399,622490
"Deolis Guerra","- - -",168.2,0.31111111,0.68093093,0.48322851,0.57142857,0.84895259,0.75343456,0.46540881,27.14978397,"Deolis Guerra",8410,500610
"Justin Miller","- - -",175.1,0.25499232,0.69326683,0.49690296,0.64759036,0.82284173,0.78254848,0.55196146,27.09769845,"Justin Miller",8580,502522
"Silvino Bracho","- - -",101.1,0.29900744,0.67978142,0.50145264,0.65145228,0.77652733,0.74159907,0.53166764,27.07880221,"Silvino Bracho",15051,611093
"Bryan Garcia","DET",88,0.23285899,0.71059783,0.46587144,0.61666667,0.85086042,0.79089616,0.48774023,27.04857929,"Bryan Garcia",19457,650530
"Tyler Sturdevant","TBR",18.1,0.23931624,0.73381295,0.5078125,0.39285714,0.88235294,0.77692308,0.54296875,27.02824859,"Tyler Sturdevant",6780,573188
"Patrick Schuster","- - -",8.2,0.22321429,0.53846154,0.375,0.56,0.91071429,0.80246914,0.48148148,27.0125,"Patrick Schuster",10029,572119
"Mike Broadway","SFG",22.2,0.31707317,0.59708738,0.47297297,0.51923077,0.89430894,0.78285714,0.55675676,27.00772201,"Mike Broadway",9894,458678
"Francisco Rodríguez","- - -",660,0.27141463,0.59900421,0.43674495,0.51617541,0.8334399,0.73578225,0.50468735,26.94428323,"Francisco Rodriguez",1642,408061
"Mauricio Cabrera","ATL",38.1,0.28476821,0.64497041,0.475,0.47674419,0.86238532,0.75328947,0.528125,26.94273128,"Mauricio Cabrera",12975,606291
"Jeff Beliveau","- - -",65.1,0.23948812,0.61111111,0.44597888,0.58778626,0.87320574,0.80510018,0.55564582,26.92580288,"Jeff Beliveau",8504,542924
"Shun Yamaguchi","TOR",25.2,0.27443609,0.72765957,0.48702595,0.53424658,0.8128655,0.7295082,0.46906188,26.92572944,"Shun Yamaguchi",27460,685493
"Madison Younginer","ATL",7,0.2345679,0.72727273,0.45578231,0.84210526,0.875,0.86567164,0.44897959,26.90721649,"Madison Younginer",10636,572283
"Chris Beck","- - -",130,0.23747841,0.68430493,0.4566652,0.62909091,0.87549148,0.81021195,0.49054114,26.90042761,"Chris Beck",13418,571476
"Robby Scott","- - -",55.2,0.24632353,0.63807531,0.4295499,0.62686567,0.80327869,0.74943052,0.46771037,26.8616188,"Robby Scott",13042,582494
"Jeurys Familia","- - -",555.2,0.29985229,0.62965455,0.45971512,0.46586911,0.84966156,0.72067171,0.48472328,26.81628932,"Jeurys Familia",5114,544727
"Brandon Brennan","- - -",57.2,0.31069959,0.6640625,0.46666667,0.45033113,0.79215686,0.66502463,0.44137931,26.7904,"Brandon Brennan",13527,592165
"Cam Bedrosian","- - -",302.2,0.25605536,0.60700539,0.43142912,0.51951952,0.86366519,0.76148016,0.49971148,26.78314518,"Cam Bedrosian",13360,592135
"Dayan Díaz","- - -",19.2,0.27358491,0.60301508,0.43309002,0.63793103,0.80833333,0.75280899,0.48418491,26.76699029,"Dayan Diaz",11543,500765
"Mac Sceroler","BAL",7.2,0.27192982,0.71428571,0.45959596,0.41935484,0.81666667,0.68131868,0.42424242,26.75510204,"Mac Sceroler",22218,669135
"Mike Adams","- - -",338.2,0.27242682,0.59070368,0.46146472,0.57538995,0.82404372,0.76443706,0.59394172,26.7314707,"Mike Adams",1937,430606
"Andrew Bellatti","- - -",105.2,0.32760267,0.66335404,0.47354212,0.49271137,0.80149813,0.68072976,0.43466523,26.72774099,"Andrew Bellatti",10657,571479
"Angel Castro","OAK",4,0.25,0.68571429,0.46478873,0.77777778,0.875,0.84848485,0.49295775,26.69230769,"Angel Castro",3243,502162
"Brendan Donnelly","- - -",90.1,0.22575517,0.66207951,0.44816836,0.64084507,0.83371824,0.78608696,0.50974279,26.64337349,"Brendan Donnelly",1441,407791
"Taylor Tankersley","FLA",77,0.25613079,0.60220994,0.42798354,0.64893617,0.87155963,0.80448718,0.49657064,26.63690476,"Taylor Tankersley",8249,452237
"Roel Ramírez","STL",1,0.16666667,0.7,0.40909091,0.5,0.92857143,0.83333333,0.45454545,26.625,"Roel Ramirez",16470,641995
"Conor Mullee","NYY",3,0.22857143,0.63333333,0.41538462,0.5,0.78947368,0.7037037,0.46153846,26.58823529,"Conor Mullee",11580,571969
"Jason Frasor","- - -",453.2,0.24264099,0.6,0.42874094,0.66213152,0.85443038,0.80227552,0.52076467,26.57925846,"Jason Frasor",1906,430630
"Leonel Campos","- - -",43.2,0.27363184,0.70903955,0.47751323,0.44545455,0.79282869,0.68698061,0.46825397,26.57323689,"Leonel Campos",12277,599998
"Cory Gearrin","- - -",304,0.26252588,0.61535217,0.43731718,0.56624606,0.84372858,0.75967511,0.49540326,26.54053254,"Cory Gearrin",7947,518715
"Rafael Perez","CLE",316.2,0.30676692,0.62305026,0.47641181,0.54248366,0.8713491,0.77317073,0.53636997,26.53768844,"Rafael Perez",4078,460370
"Brian Ellington","MIA",102.2,0.23860021,0.73979592,0.49401976,0.65777778,0.80275862,0.76842105,0.50962038,26.52173913,"Brian Ellington",17233,623395
"Victor Alcántara","DET",80,0.3484375,0.69887279,0.52101507,0.64125561,0.88018433,0.79908676,0.4924663,26.50555556,"Victor Alcantara",15028,622505
"Hunter Strickland","- - -",470,0.26657303,0.68381805,0.48793354,0.59220232,0.82878953,0.76810811,0.53052881,26.50361533,"Hunter Strickland",7836,519326
"Enrique Burgos","ARI",68.1,0.2694704,0.63787375,0.4477492,0.46820809,0.8203125,0.71095153,0.48392283,26.49835346,"Enrique Burgos",3895,542609
"Hunter Jones","- - -",14.1,0.22516556,0.68253968,0.433213,0.76470588,0.88372093,0.85,0.45487365,26.48148148,"Hunter Jones",4656,491220
"Josh Staumont","- - -",192.2,0.24956572,0.62574493,0.4349486,0.49883991,0.83619048,0.73801485,0.4928047,26.47397696,"Josh Staumont",18335,622251
"Jean Machi","- - -",191.2,0.25995492,0.64889837,0.45982469,0.54624277,0.84665936,0.76409849,0.51387874,26.46354733,"Jean Machi",3220,466948
"Tyler Clippard","- - -",872.1,0.29295461,0.68841621,0.48755304,0.60076046,0.78162839,0.72642878,0.49207921,26.45860485,"Tyler Clippard",5640,461325
"Mike Shawaryn","BOS",20.1,0.28985507,0.70810811,0.45770065,0.4,0.81679389,0.65876777,0.40130152,26.45723684,"Mike Shawaryn",19495,642067
"Giovanny Gallegos","- - -",335.2,0.35560345,0.68097227,0.513753,0.42929293,0.82710541,0.68559109,0.4860624,26.44018059,"Giovanny Gallegos",14986,606149
"Jason Grilli","- - -",528.1,0.30434783,0.64599906,0.47509355,0.57142857,0.82252807,0.74206252,0.49976614,26.43982705,"Jason Grilli",521,276351
"Chris Bootcheck","- - -",109,0.22691706,0.64831039,0.46105702,0.63448276,0.86679537,0.81598793,0.55563282,26.43478261,"Chris Bootcheck",1842,408052
"Colton Murray","PHI",39.1,0.24924925,0.64841499,0.45294118,0.59036145,0.87111111,0.79545455,0.51029412,26.42299795,"Colton Murray",12264,605396
"Marcus Walden","BOS",106,0.30315789,0.68627451,0.4801812,0.49305556,0.875,0.74528302,0.46206116,26.4199683,"Marcus Walden",8004,519393
"Pedro Villarreal","CIN",71.1,0.29580153,0.69666667,0.50978648,0.68387097,0.88995215,0.83420593,0.53380783,26.40401506,"Pedro Villarreal",9904,543881
"Bruce Rondón","- - -",141.1,0.29753381,0.6518283,0.47475149,0.47058824,0.82682927,0.71524288,0.50019881,26.39747807,"Bruce Rondon",5766,541652
"R.J. Alvarez","- - -",30.1,0.23076923,0.71019108,0.48166667,0.57575758,0.80269058,0.75086505,0.52333333,26.38148984,"R.J. Alvarez",13401,571439
"J.J. Putz","- - -",361.2,0.32526475,0.63706422,0.48351648,0.58255814,0.83698157,0.75269646,0.5075433,26.37946232,"J.J. Putz",1795,407816
"Montana DuRapau","PIT",17.1,0.31609195,0.64705882,0.47094801,0.47272727,0.84848485,0.71428571,0.46788991,26.37238494,"Montana DuRapau",16768,657566
"Seth Elledge","STL",23.1,0.21848739,0.5627907,0.38189845,0.51923077,0.8677686,0.76300578,0.47461369,26.36873156,"Seth Elledge",19766,676220
"Brad Goldberg","CHW",12,0.15714286,0.73770492,0.42748092,0.77272727,0.83333333,0.82142857,0.46564885,26.34871795,"Brad Goldberg",14776,643329
"Matt Barnes","- - -",466.1,0.29502762,0.60477521,0.43913968,0.50561798,0.8399832,0.71986006,0.46525644,26.34837172,"Matt Barnes",12863,598264
"Santiago Casilla","- - -",634.1,0.28565944,0.64179728,0.4561737,0.58534946,0.8580267,0.7690283,0.47878727,26.33542783,"Santiago Casilla",2873,433586
"Heath Hembree","- - -",356,0.2760078,0.68663594,0.48712684,0.57479388,0.81923937,0.75194553,0.51413679,26.32813834,"Heath Hembree",11632,592390
"LaTroy Hawkins","- - -",450.2,0.28914835,0.64926871,0.48538834,0.72327791,0.90106007,0.85286542,0.5449289,26.31410256,"LaTroy Hawkins",729,115629
"Connor Sadzeck","- - -",36,0.18954248,0.64759036,0.42789969,0.63793103,0.80465116,0.76923077,0.52037618,26.29122056,"Connor Sadzeck",13483,592712
"Nick Goody","- - -",152.2,0.31062271,0.68740516,0.49571375,0.46933962,0.81125828,0.70225564,0.49124115,26.28464232,"Nick Goody",13685,580792
"Junior Fernández","- - -",54,0.24304267,0.71655329,0.45612245,0.49618321,0.78797468,0.70246085,0.45,26.27170868,"Junior Fernandez",18496,658551
"Josh Lueke","- - -",87.2,0.26911765,0.63932449,0.47249834,0.6284153,0.86792453,0.80645161,0.54937044,26.240553,"Josh Lueke",5722,518961
"Roman Mendez","- - -",46.2,0.22135417,0.67254408,0.45070423,0.68235294,0.84644195,0.80681818,0.50832266,26.22608696,"Roman Mendez",10307,542669
"Eduardo Jiménez","DET",10.2,0.2952381,0.67857143,0.46560847,0.80645161,0.85964912,0.84090909,0.44444444,26.22302158,"Eduardo Jimenez",19642,621592
"Manny Delcarmen","- - -",230.1,0.25770925,0.60755149,0.42929293,0.66880342,0.84745763,0.79281046,0.49046016,26.21699545,"Manny Delcarmen",3180,434668
"Atahualpa Severino","WSN",4.2,0.45833333,0.64102564,0.54022989,0.72727273,0.92,0.82978723,0.44827586,26.21538462,"Atahualpa Severino",5332,463037
"Miguel Alfredo Gonzalez","PHI",5.1,0.25454545,0.64,0.47692308,0.57142857,0.79166667,0.74193548,0.57692308,26.21052632,"Miguel Alfredo Gonzalez",15675,646057
"Jose Veras","- - -",412,0.22545969,0.56313618,0.39665272,0.60476788,0.85295554,0.78340366,0.5069735,26.20869565,"Jose Veras",2063,407842
"Yoslan Herrera","- - -",35,0.27002967,0.61419753,0.4387292,0.68131868,0.89447236,0.82758621,0.49016641,26.18518519,"Yoslan Herrera",7759,506648
"Hansel Robles","- - -",427.1,0.23809524,0.68405873,0.4738082,0.65432099,0.79954005,0.765136,0.52854767,26.17501418,"Hansel Robles",11801,570663
"Gabe Klobosits","WSN",11.1,0.3125,0.7244898,0.52061856,0.66666667,0.87323944,0.81188119,0.50515464,26.16666667,"Gabe Klobosits",19881,656620
"Darren O'Day","- - -",609,0.31913514,0.62059895,0.4748615,0.57723577,0.82980111,0.74774378,0.51656737,26.16533934,"Darren O'Day",3321,503285
"Taylor Buchholz","- - -",198,0.29732869,0.62473118,0.46733668,0.52734375,0.87951807,0.77180406,0.51926298,26.14851485,"Taylor Buchholz",2168,430587
"Mark Melancon","- - -",726.2,0.30211424,0.64470377,0.47619048,0.54450583,0.88248399,0.77701149,0.50811896,26.11867365,"Mark Melancon",4264,453343
"Ryan Sherriff","- - -",51,0.23834197,0.62528217,0.4451146,0.58695652,0.87725632,0.80487805,0.53437877,26.09634551,"Ryan Sherriff",12249,595411
"Jake Walsh","STL",2.2,0.25,0.60606061,0.43076923,0.75,0.85,0.82142857,0.50769231,26.08163265,"Jake Walsh",20227,673904
"Joe Barlow","TEX",73.2,0.2972028,0.68321918,0.49221453,0.57058824,0.81954887,0.74516696,0.50519031,26.04739336,"Joe Barlow",22296,669618
"Ryne Harper","- - -",113.2,0.30960854,0.61678463,0.47543668,0.57854406,0.86885246,0.78185993,0.53984716,26.03871929,"Ryne Harper",12680,607560
"Alex Hinshaw","- - -",74,0.21688501,0.59620991,0.40640932,0.59731544,0.83618582,0.77240143,0.49963583,26.03333333,"Alex Hinshaw",3941,450527
"Casey Daigle","HOU",10.1,0.21428571,0.61946903,0.41777778,0.5,0.94285714,0.82978723,0.50222222,26.03225806,"Casey Daigle",1880,430664
"Tony Barnette","- - -",145.1,0.29917355,0.67465753,0.48359966,0.51933702,0.85406091,0.74869565,0.49116905,26.02657423,"Tony Barnette",3555,501817
"Brandon Bailey","HOU",7.1,0.22916667,0.73469388,0.48453608,0.36363636,0.91666667,0.78723404,0.50515464,26.01515152,"Brandon Bailey",19582,669064
"Bryan Morris","- - -",236,0.3153682,0.69987995,0.49632768,0.5177665,0.86363636,0.74729653,0.47062147,25.99875879,"Bryan Morris",10234,457768
"James Pazos","- - -",127.2,0.25331971,0.68466153,0.48788444,0.64112903,0.82978723,0.78510029,0.54380242,25.98788265,"James Pazos",13323,572021
"Chris Withrow","- - -",93.2,0.25736236,0.65435042,0.46296296,0.60199005,0.79599271,0.744,0.51790123,25.97736798,"Chris Withrow",7161,519437
"James Karinchak","CLE",165.2,0.26925373,0.59245562,0.41361084,0.5232816,0.77777778,0.68610224,0.44664685,25.97664169,"James Karinchak",20151,675916
"Claudio Vargas","- - -",232.1,0.275,0.62125107,0.44013077,0.65340909,0.87448276,0.80222841,0.4769105,25.97520661,"Claudio Vargas",1695,282567
"Juan Cruz","- - -",252.2,0.24214792,0.61576846,0.43036702,0.61506276,0.79902755,0.74766355,0.50377074,25.96061644,"Juan Cruz",273,407297
"Sam Dyson","- - -",386.2,0.28013519,0.66961652,0.4880994,0.62868633,0.86784141,0.80387236,0.5339517,25.94873084,"Sam Dyson",11710,473879
"Matt Andriese","- - -",515,0.30343651,0.65282847,0.48391658,0.6,0.8661775,0.78548819,0.51655473,25.9398533,"Matt Andriese",12022,542882
"Kyle Dohy","PHI",1,0.38461538,0.42857143,0.4,0.8,1,0.875,0.35,25.93333333,"Kyle Dohy",20334,675971
"Jim Henderson","- - -",137,0.26748252,0.69654088,0.49337748,0.58496732,0.78668172,0.73489933,0.52649007,25.91984305,"Jim Henderson",6653,449104
"Gabriel Moya","MIN",42.2,0.27887324,0.68965517,0.49043716,0.62626263,0.85384615,0.79108635,0.51502732,25.90573013,"Gabriel Moya",16348,622382
"Dustin Antolin","TOR",2,0.17647059,0.52,0.38095238,0.66666667,0.92307692,0.875,0.5952381,25.9,"Dustin Antolin",7119,542884
"David Goforth","MIL",36.1,0.33027523,0.72202166,0.50993377,0.57407407,0.875,0.76948052,0.45860927,25.8997669,"David Goforth",12166,592341
"Pedro Araújo","BAL",28.2,0.24305556,0.6468254,0.43148148,0.52857143,0.75460123,0.68669528,0.46666667,25.8989899,"Pedro Araujo",17697,606478
"Logan Kensing","- - -",124.2,0.26625387,0.63617677,0.45159629,0.70155039,0.86429725,0.81641961,0.50102987,25.88844622,"Logan Kensing",6166,434137
"Dustin Richardson","BOS",16.1,0.24404762,0.55232558,0.4,0.75609756,0.88421053,0.84558824,0.50588235,25.84259259,"Dustin Richardson",2548,450580
"Patrick Weigel","- - -",4.2,0.13636364,0.49206349,0.31007752,0.55555556,0.87096774,0.8,0.48837209,25.84,"Patrick Weigel",17792,622256
"Josh Fields","- - -",276.1,0.29595319,0.68335419,0.50472122,0.57825371,0.82417582,0.75768374,0.53889388,25.8347057,"Josh Fields",5070,451661
"Joe Colón","CLE",10,0.18292683,0.66,0.44505495,0.66666667,0.86363636,0.82716049,0.54945055,25.82706767,"Joe Colon",4920,571572
"Cody Stashak","MIN",72,0.32467532,0.73220339,0.53764393,0.51428571,0.77546296,0.70016474,0.52258636,25.80929095,"Cody Stashak",18088,664054
"Ken Giles","- - -",355.1,0.34546752,0.67978723,0.51316258,0.40495868,0.79707877,0.66551127,0.50160085,25.78995098,"Ken Giles",12910,571704
"Evan Marshall","- - -",193.1,0.34316506,0.67709041,0.49505257,0.56528926,0.86445783,0.75140537,0.45485467,25.78487395,"Evan Marshall",12297,605359
"Tayron Guerrero","- - -",106,0.24203187,0.71332046,0.48137255,0.56378601,0.81461434,0.75254582,0.50784314,25.78141361,"Tayron Guerrero",11691,594027
"Sam Howard","- - -",91,0.28451001,0.66582598,0.45809414,0.47777778,0.78409091,0.68045113,0.45522388,25.770754,"Sam Howard",16265,607572
"Drew Storen","- - -",440.1,0.28982301,0.62776378,0.46905151,0.58778626,0.85911725,0.78037975,0.53035476,25.76742216,"Drew Storen",6983,519322
"Kevin Jepsen","- - -",416.2,0.27174837,0.66034985,0.46328495,0.5818561,0.86887417,0.78349876,0.49288691,25.76325581,"Kevin Jepsen",6475,448178
"Kyle Keller","- - -",46.1,0.27489177,0.65962441,0.45945946,0.59055118,0.88256228,0.79166667,0.47972973,25.75491679,"Kyle Keller",18890,664918
"Yoshihisa Hirano","- - -",131.2,0.33488372,0.66197183,0.47723292,0.53703704,0.8449848,0.72293578,0.4352014,25.73130841,"Yoshihisa Hirano",19756,673633
"Austin Bibens-Dirkx","TEX",114.1,0.25551102,0.68454259,0.46485377,0.63529412,0.86943164,0.80353201,0.48794253,25.7259986,"Austin Bibens-Dirkx",9559,502212
"Damien Magnifico","- - -",3.1,0.09302326,0.61290323,0.31081081,0.5,0.94736842,0.86956522,0.41891892,25.72222222,"Damien Magnifico",13395,571911
"Jeremy Jeffress","- - -",424.1,0.27553444,0.62252405,0.45320197,0.5700431,0.85636364,0.77141944,0.5120255,25.71724413,"Jeremy Jeffress",9490,502026
"Takashi Saito","- - -",259.2,0.27926587,0.62098299,0.45425944,0.59502664,0.80365297,0.74107619,0.51210068,25.71639202,"Takashi Saito",6021,493416
"Angel Nesbitt","DET",21.2,0.29508197,0.71875,0.512,0.64814815,0.87681159,0.8125,0.512,25.70695971,"Angel Nesbitt",13415,553970
"Kenley Jansen","- - -",927.1,0.30218313,0.6745505,0.51276102,0.54677755,0.76493739,0.70907639,0.56551112,25.70644887,"Kenley Jansen",3096,445276
"Perci Garner","CLE",9.1,0.34579439,0.63380282,0.46067416,0.56756757,0.8,0.69512195,0.3988764,25.70542636,"Perci Garner",10887,592330
"Noé Ramirez","- - -",297,0.28788501,0.61322645,0.4525355,0.53922967,0.82418301,0.73464814,0.50608519,25.69470752,"Noe Ramirez",12800,598287
"John Parrish","- - -",100.1,0.22558923,0.63410596,0.43155259,0.58208955,0.89295039,0.81237911,0.50417362,25.69230769,"John Parrish",160,332292
"Greg Holland","- - -",547.2,0.3117338,0.60628845,0.45606788,0.43609551,0.8166103,0.68396573,0.49000782,25.68899816,"Greg Holland",7196,518813
"Jess Todd","- - -",28.1,0.28148148,0.65357143,0.47090909,0.52631579,0.89071038,0.78378378,0.50909091,25.67961165,"Jess Todd",3805,519357
"Luis Garcia","HOU",359.2,0.29488055,0.67058824,0.47863993,0.50694444,0.81977671,0.72131148,0.48910201,25.66856871,"Luis Garcia",23735,677651
"Jorge Guzmán","MIA",2.2,0.16326531,0.67741935,0.3625,0.5,0.76190476,0.68965517,0.3875,25.66071429,"Jorge Guzman",17505,660422
"Jake Barrett","- - -",97,0.28292683,0.66284987,0.46886675,0.51293103,0.85412668,0.74900398,0.48941469,25.6557377,"Jake Barrett",13322,545332
"Jake McGee","- - -",572.1,0.25754972,0.70744681,0.51506562,0.6406101,0.82706767,0.78719935,0.57238845,25.65123589,"Jake McGee",7550,459429
"CD Pelham","TEX",7.2,0.28,0.67073171,0.48407643,0.47619048,0.94545455,0.81578947,0.52229299,25.64705882,"CD Pelham",19820,641962
"Sergio Romo","- - -",722.2,0.32639006,0.61136913,0.46171489,0.54606279,0.79033728,0.69965609,0.47485886,25.63721371,"Sergio Romo",9817,489265
"Alberto Baldonado","WSN",10.2,0.19008264,0.72340426,0.42325581,0.43478261,0.82352941,0.72527473,0.4372093,25.56707317,"Alberto Baldonado",11812,593604
"Sam LeCure","CIN",320.2,0.26101955,0.55551345,0.40910823,0.64464023,0.86834925,0.79739171,0.50285823,25.56412338,"Sam LeCure",4664,459967
"A.J. Alexy","TEX",30,0.19808307,0.6539924,0.40625,0.70967742,0.8372093,0.8034188,0.45659722,25.56363636,"A.J. Alexy",22343,669935
"Ben Bowden","- - -",46.1,0.22772277,0.66958425,0.46225319,0.55434783,0.80718954,0.74874372,0.53077816,25.55766193,"Ben Bowden",20198,641386
"Blaine Boyer","- - -",430,0.26768642,0.66060277,0.47984167,0.72380952,0.88327168,0.84234647,0.53995015,25.53641791,"Blaine Boyer",2237,430641
"Tyler Wagner","- - -",23.2,0.28019324,0.63243243,0.44642857,0.70689655,0.93162393,0.85714286,0.47193878,25.5261194,"Tyler Wagner",13796,621281
"James Hoyt","- - -",102.2,0.35548842,0.62911392,0.47672462,0.44192635,0.80482897,0.65411765,0.44307347,25.51993865,"James Hoyt",14605,624586
"Alan Johnson","COL",4,0.26785714,0.72972973,0.4516129,0.6,0.88888889,0.78571429,0.39784946,25.51428571,"Alan Johnson",917,489567
"John Axford","- - -",525.2,0.24505929,0.61252364,0.42786954,0.55687606,0.85008576,0.76569753,0.49749111,25.50495916,"John Axford",9059,446099
"Ryan Tepera","- - -",365.1,0.29736592,0.70186567,0.48327903,0.47278549,0.83253589,0.71291696,0.45961242,25.48863098,"Ryan Tepera",10291,572193
"Tony Sipp","- - -",503.2,0.27554535,0.65193762,0.46104577,0.53083333,0.81587532,0.72947714,0.49283801,25.47597254,"Tony Sipp",8280,448609
"Taylor Widener","ARI",107.2,0.23289183,0.67231076,0.46387435,0.63981043,0.82962963,0.78442438,0.52565445,25.47581792,"Taylor Widener",19266,642203
"Jesus Colome","- - -",175.1,0.2254395,0.64463602,0.44306315,0.64220183,0.85884101,0.80583614,0.5191447,25.47533632,"Jesus Colome",1198,400125
"Joe Nathan","- - -",446.1,0.30663221,0.64642082,0.47004471,0.5664794,0.82933845,0.74032974,0.48092399,25.46335533,"Joe Nathan",1122,150274
"Emilio Pagán","- - -",506.2,0.31156176,0.71908819,0.52899263,0.57480981,0.78962536,0.73060845,0.53353808,25.45720007,"Emilio Pagan",14771,641941
"Domingo Acevedo","OAK",88,0.31050228,0.758967,0.54135894,0.48529412,0.82041588,0.7271487,0.51477105,25.45362903,"Domingo Acevedo",17092,642758
"Mark Lowe","- - -",367,0.26830961,0.65090021,0.47190646,0.61836999,0.8246601,0.76978665,0.5321533,25.44716692,"Mark Lowe",7416,450275
"Daryl Thompson","CIN",17.1,0.27624309,0.69060773,0.48342541,0.84,0.864,0.85714286,0.5,25.43636364,"Daryl Thompson",6603,444354
"Scott Downs","- - -",417.1,0.2786198,0.60348957,0.43625498,0.61226852,0.88151927,0.79299848,0.48522576,25.42814594,"Scott Downs",773,275933
"Zach Braddock","MIL",51,0.26977688,0.62309368,0.44012605,0.55639098,0.86713287,0.76849642,0.48214286,25.41678521,"Zach Braddock",4553,488722
"Chris Resop","- - -",205,0.25632706,0.6717759,0.48528983,0.6835443,0.87332809,0.82833133,0.55112147,25.41192788,"Chris Resop",3799,434592
"Xavier Cedeño","- - -",177.2,0.30367144,0.59820194,0.44317065,0.50819672,0.85780347,0.73170732,0.47363249,25.39738974,"Xavier Cedeno",36,458584
"Brett Eibner","MIA",3.1,0.1875,0.72222222,0.47058824,0.5,0.88461538,0.8125,0.52941176,25.39583333,"Brett Eibner",11369,518649
"Dan Wheeler","- - -",308.2,0.29714605,0.62431762,0.47054182,0.65348399,0.8863275,0.81721632,0.52998422,25.39356436,"Dan Wheeler",120,235095
"Zac Curtis","- - -",38,0.2287234,0.65597668,0.4325452,0.47674419,0.85777778,0.75241158,0.47705146,25.38185255,"Zac Curtis",16684,657205
